Country;% of GDP;
Oman;11.00;11.00
Saudi Arabia;7.80;7.80
Algeria;7.00;7.00
Kuwait;6.30;6.30
United Arab Emirates;6.00;6.00
Azerbaijan;5.40;5.40
Eritrea;5.10;5.10
Armenia;5.00;5.00
Djibouti;4.90;4.90
Israel;4.80;4.80
Jordan;4.70;4.70
Morocco;4.50;4.50
Yemen;4.30;4.30
Bahrain;4.20;4.20
Cuba;4.20;4.20
Iraq;4.10;4.10
Pakistan;4.00;4.00
Qatar;4.00;4.00
Russia;4.00;4.00
Ukraine;4.00;4.00
Greece;3.82;3.82
United States;3.73;3.73
Brunei;3.70;3.70
Mali;3.40;3.40
Namibia;3.40;3.40
Congo, Republic of the;3.20;3.20
Singapore;3.20;3.20
Botswana;3.00;3.00
Burma;3.00;3.00
Colombia;3.00;3.00
Lebanon;3.00;3.00
Chad;2.90;2.90
Tunisia;2.90;2.90
Croatia;2.79;2.79
Korea, South;2.64;2.64
India;2.60;2.60
Burkina Faso;2.50;2.50
Cambodia;2.50;2.50
Mauritania;2.50;2.50
Uganda;2.50;2.50
Vietnam;2.40;2.40
United Kingdom;2.32;2.32
Ecuador;2.30;2.30
Estonia;2.30;2.30
South Sudan;2.30;2.30
Taiwan;2.30;2.30
Uruguay;2.30;2.30
Latvia;2.27;2.27
Finland;2.20;2.20
Poland;2.20;2.20
Australia;2.10;2.10
Burundi;2.10;2.10
Iran;2.10;2.10
Niger;2.10;2.10
France;2.04;2.04
Lithuania;2.03;2.03
Chile;2.00;2.00
Kosovo;2.00;2.00
Norway;2.00;2.00
Romania;2.00;2.00
Serbia;2.00;2.00
Sri Lanka;2.00;2.00
Togo;2.00;2.00
Turkey;1.86;1.86
Hungary;1.85;1.85
Central African Republic;1.80;1.80
Eswatini;1.80;1.80
Gabon;1.80;1.80
Georgia;1.80;1.80
Kyrgyzstan;1.80;1.80
Cyprus;1.75;1.75
Slovakia;1.73;1.73
Montenegro;1.72;1.72
Angola;1.70;1.70
China;1.70;1.70
Guinea-Bissau;1.70;1.70
Honduras;1.70;1.70
Jamaica;1.70;1.70
Bulgaria;1.60;1.60
Lesotho;1.60;1.60
Seychelles;1.60;1.60
Portugal;1.59;1.59
North Macedonia;1.57;1.57
Germany;1.56;1.56
Belize;1.50;1.50
New Zealand;1.50;1.50
Senegal;1.50;1.50
Netherlands;1.49;1.49
Canada;1.42;1.42
Denmark;1.40;1.40
Fiji;1.40;1.40
Guinea;1.40;1.40
Panama;1.40;1.40
Thailand;1.40;1.40
Italy;1.39;1.39
Czechia;1.34;1.34
Albania;1.30;1.30
Bolivia;1.30;1.30
Brazil;1.30;1.30
Equatorial Guinea;1.30;1.30
Nepal;1.30;1.30
Rwanda;1.30;1.30
Somalia;1.30;1.30
Tanzania;1.30;1.30
Zambia;1.30;1.30
Afghanistan;1.20;1.20
Bangladesh;1.20;1.20
Belarus;1.20;1.20
Egypt;1.20;1.20
El Salvador;1.20;1.20
Guyana;1.20;1.20
Kenya;1.20;1.20
Peru;1.20;1.20
Timor-Leste;1.20;1.20
Uzbekistan;1.20;1.20
Spain;1.17;1.17
Cote d'Ivoire;1.10;1.10
Kazakhstan;1.10;1.10
Slovenia;1.10;1.10
Sudan;1.10;1.10
Suriname;1.10;1.10
Sweden;1.10;1.10
Tajikistan;1.10;1.10
Belgium;1.07;1.07
Cameroon;1.00;1.00
Japan;1.00;1.00
Malaysia;1.00;1.00
Mozambique;1.00;1.00
Paraguay;1.00;1.00
Philippines;1.00;1.00
Bahamas, The;0.90;0.90
Barbados;0.90;0.90
Bosnia and Herzegovina;0.90;0.90
Malawi;0.90;0.90
South Africa;0.90;0.90
Turkmenistan;0.90;0.90
Argentina;0.80;0.80
Austria;0.80;0.80
Dominican Republic;0.80;0.80
Gambia, The;0.80;0.80
Indonesia;0.80;0.80
Madagascar;0.80;0.80
Mongolia;0.80;0.80
Switzerland;0.80;0.80
Trinidad and Tobago;0.80;0.80
Costa Rica;0.70;0.70
Mexico;0.70;0.70
Nicaragua;0.70;0.70
Zimbabwe;0.70;0.70
Cabo Verde;0.60;0.60
Congo, Democratic Republic of the;0.60;0.60
Malta;0.60;0.60
Nigeria;0.60;0.60
Luxembourg;0.57;0.57
Benin;0.50;0.50
Ethiopia;0.50;0.50
Guatemala;0.50;0.50
Sierra Leone;0.50;0.50
Ghana;0.40;0.40
Liberia;0.40;0.40
Moldova;0.40;0.40
Papua New Guinea;0.40;0.40
Venezuela;0.40;0.40
Ireland;0.27;0.27
Laos;0.20;0.20
Mauritius;0.20;0.20
