Country;(% of GDP) ;
Oman ;8.80;8.80
Saudi Arabia ;8.00;8.00
Algeria ;6.00;6.00
United Arab Emirates ;5.70;5.70
Kuwait ;5.60;5.60
Israel ;5.00;5.00
Armenia ;4.90;4.90
Jordan ;4.70;4.70
Lebanon ;4.20;4.20
Azerbaijan ;4.00;4.00
Pakistan ;4.00;4.00
Uzbekistan ;4.00;4.00
Yemen ;3.98;3.98
Russia ;3.90;3.90
Ukraine ;3.90;3.90
Iran ;3.80;3.80
Bahrain ;3.70;3.70
Iraq ;3.50;3.50
South Sudan ;3.50;3.50
United States ;3.42;3.42
Brunei ;3.30;3.30
Bulgaria ;3.25;3.25
Colombia ;3.20;3.20
Singapore ;3.20;3.20
Morocco ;3.10;3.10
Togo ;3.10;3.10
Namibia ;3.00;3.00
Burma ;2.90;2.90
Cuba ;2.90;2.90
Botswana ;2.80;2.80
Mauritania ;2.80;2.80
Congo, Republic of the ;2.70;2.70
Korea, South ;2.70;2.70
Mali ;2.70;2.70
Tunisia ;2.60;2.60
Burkina Faso ;2.40;2.40
India ;2.40;2.40
Cambodia ;2.30;2.30
Ecuador ;2.30;2.30
Vietnam ;2.30;2.30
Greece ;2.28;2.28
Chad ;2.20;2.20
Serbia ;2.20;2.20
Estonia ;2.14;2.14
United Kingdom ;2.14;2.14
Uganda ;2.10;2.10
Romania ;2.04;2.04
Lithuania ;2.03;2.03
Latvia ;2.01;2.01
Georgia ;2.00;2.00
Guinea ;2.00;2.00
Poland ;2.00;2.00
Uruguay ;2.00;2.00
Australia ;1.90;1.90
China ;1.90;1.90
Sri Lanka ;1.90;1.90
Turkey ;1.89;1.89
France ;1.84;1.84
Burundi ;1.80;1.80
Chile ;1.80;1.80
Eswatini ;1.80;1.80
Niger ;1.80;1.80
Norway ;1.80;1.80
Slovakia ;1.74;1.74
Guyana ;1.70;1.70
Taiwan ;1.70;1.70
Croatia ;1.68;1.68
Montenegro ;1.66;1.66
Angola ;1.60;1.60
Cyprus ;1.60;1.60
Fiji ;1.60;1.60
Gabon ;1.60;1.60
Honduras ;1.60;1.60
Jamaica ;1.60;1.60
Nepal ;1.60;1.60
Sudan ;1.60;1.60
Portugal ;1.52;1.52
Brazil ;1.50;1.50
Central African Republic ;1.50;1.50
Finland ;1.50;1.50
Kyrgyzstan ;1.50;1.50
Lesotho ;1.50;1.50
New Zealand ;1.50;1.50
Senegal ;1.50;1.50
Bolivia ;1.40;1.40
Guinea-Bissau ;1.40;1.40
Germany ;1.38;1.38
Netherlands ;1.36;1.36
Denmark ;1.32;1.32
Canada ;1.31;1.31
Albania ;1.30;1.30
Bangladesh ;1.30;1.30
Kenya ;1.30;1.30
Seychelles ;1.30;1.30
Tanzania ;1.30;1.30
Thailand ;1.30;1.30
Italy ;1.22;1.22
Hungary ;1.21;1.21
Afghanistan ;1.20;1.20
Belarus ;1.20;1.20
Belize ;1.20;1.20
Egypt ;1.20;1.20
El Salvador ;1.20;1.20
North Macedonia ;1.20;1.20
Peru ;1.20;1.20
Rwanda ;1.20;1.20
Tajikistan ;1.20;1.20
Zambia ;1.20;1.20
Czechia ;1.19;1.19
Cameroon ;1.10;1.10
Cote d'Ivoire ;1.10;1.10
Equatorial Guinea ;1.10;1.10
Kazakhstan ;1.10;1.10
Sweden ;1.10;1.10
Slovenia ;1.04;1.04
Malaysia ;1.00;1.00
Paraguay ;1.00;1.00
Philippines ;1.00;1.00
South Africa ;1.00;1.00
Timor-Leste ;1.00;1.00
Zimbabwe ;1.00;1.00
Mozambique ;0.99;0.99
Belgium ;0.93;0.93
Japan ;0.93;0.93
Spain ;0.92;0.92
Bosnia and Herzegovina ;0.90;0.90
Malawi ;0.90;0.90
Gambia, The ;0.80;0.80
Kosovo ;0.80;0.80
Argentina ;0.70;0.70
Austria ;0.70;0.70
Benin ;0.70;0.70
Congo, Democratic Republic of the ;0.70;0.70
Dominican Republic ;0.70;0.70
Ethiopia ;0.70;0.70
Indonesia ;0.70;0.70
Mongolia ;0.70;0.70
Nicaragua ;0.70;0.70
Sierra Leone ;0.70;0.70
Switzerland ;0.70;0.70
Trinidad and Tobago ;0.70;0.70
Madagascar ;0.60;0.60
Malta ;0.60;0.60
Luxembourg ;0.56;0.56
Cabo Verde ;0.50;0.50
Liberia ;0.50;0.50
Mexico ;0.50;0.50
Nigeria ;0.50;0.50
Venezuela ;0.50;0.50
Ghana ;0.40;0.40
Guatemala ;0.40;0.40
Moldova ;0.40;0.40
Papua New Guinea ;0.40;0.40
Iceland ;0.30;0.30
Ireland ;0.30;0.30
Laos ;0.20;0.20
Mauritius ;0.20;0.20
