Country;MILITARY EXPENDITURES(% OF GDP);
Afghanistan;"NA% (2012)
4.74% of GDP (2011)
NA% (2010)";NA
Albania;"0.85% of GDP (2015)
1.04% of GDP (2014)
1.5% of GDP (2013)
1.47% of GDP (2012)
1.52% of GDP (2011)";0.85
Algeria;"4.48% of GDP (2012)
4.36% of GDP (2011)
4.48% of GDP (2010)";4.48
Angola;"3.63% of GDP (2012)
3.5% of GDP (2011)
3.63% of GDP (2010)";3.63
Argentina;"0.91% of GDP (2012)
0.9% of GDP (2011)
0.91% of GDP (2010)";0.91
Armenia;"4.1% of GDP (2013)
3.92% of GDP (2012)
3.87% of GDP (2011)
3.92% of GDP (2010)";4.1
Australia;"1.71% of GDP (2012)
1.84% of GDP (2011)
1.71% of GDP (2010)";1.71
Austria;"0.55% of GDP (2015 projected)
0.62% of GDP (2014)
0.63% of GDP (2013)
0.68% of GDP (2012)
0.7% of GDP (2011)";0.55
Azerbaijan;"4.7% of GDP (2013)
4.64% of GDP (2012)
4.67% of GDP (2011)
4.64% of GDP (2010)";4.7
Bahrain;"4.2% of GDP (2014)
4.1% of GDP (2013)
3.9% of GDP (2010)";4.2
Bangladesh;"1.15% of GDP (2013)
1.35% of GDP (2012)
1.44% of GDP (2011)
1.35% of GDP (2010)";1.15
Belarus;"1.3% of GDP (2013)
1.2% of GDP (2012)
1.27% of GDP (2011)
1.2% of GDP (2010)";1.3
Belgium;"1% of GDP (2013)
1.05% of GDP (2012)
1.08% of GDP (2011)
1.05% of GDP (2010)";1
Belize;"NA% (2012)
1.08% of GDP (2011)
NA% (2010)";NA
Benin;"1.03% of GDP (2012)
NA% (2011)
1.03% of GDP (2010)";1.03
Bolivia;"1.47% of GDP (2012)
1.47% of GDP (2011)
1.47% of GDP (2010)";1.47
Bosnia and Herzegovina;"0.98% of GDP (2014)
1.04% of GDP (2013)
1.35% of GDP (2012)
1.15% of GDP (2011)
1.35% of GDP (2010)";0.98
Botswana;"2% of GDP (2013)
2.31% of GDP (2012)
2.43% of GDP (2011)
2.31% of GDP (2010)";2
Brazil;"1.47% of GDP (2012)
1.49% of GDP (2011)
1.47% of GDP (2010)";1.47
Brunei;"2.43% of GDP (2012)
2.54% of GDP (2011)
2.43% of GDP (2010)";2.43
Bulgaria;"1.6% of GDP (2013)
1.46% of GDP (2012)
1.55% of GDP (2011)
1.46% of GDP (2010)";1.6
Burkina Faso;"1.39% of GDP (2012)
1.34% of GDP (2011)
1.39% of GDP (2010)";1.39
Burundi;"2.39% of GDP (2012)
NA% (2011)
2.39% of GDP (2010)";2.39
Cabo Verde;"NA% (2012)
0.51% of GDP (2011)
NA% (2010)";NA
Cambodia;"2% of GDP (2015 est.)
1.8% of GDP (2014)
1.58% of GDP (2013)
1.54% of GDP (2012)
1.5% of GDP (2011)";2
Cameroon;"1.42% of GDP (2012)
1.37% of GDP (2011)
1.42% of GDP (2010)";1.42
Canada;"1% of GDP (2013)
1.24% of GDP (2012)
1.31% of GDP (2011)
1.24% of GDP (2010)";1
Chad;"NA% (2012)
2.28% of GDP (2011)
NA% (2010)";NA
Chile;"2.04% of GDP (2012)
2.17% of GDP (2011)
2.04% of GDP (2010)";2.04
China;"1.99% of GDP (2012)
2% of GDP (2011)
1.99% of GDP (2010)";1.99
Colombia;"3.28% of GDP (2012)
3.06% of GDP (2011)
3.63% of GDP (2010)";3.28
Congo, Democratic Republic of the;"1.72% of GDP (2012)
1.53% of GDP (2011)
1.72% of GDP (2010)";1.72
