Country;BUDGET SURPLUS (+) OR DEFICIT (-)(% OF GDP);
Afghanistan;-24.6% of GDP (2016 est.);-24.6
Albania;-1.8% of GDP (2016 est.);-1.8
Algeria;-13.8% of GDP (2016 est.);-13.8
American Samoa;-0.3% of GDP (2013 est.);-0.3
Andorra;-6.9% of GDP (2016);-6.9
Angola;-6.2% of GDP (2016 est.);-6.2
Anguilla;1% of GDP (2016 est.);1
Antigua and Barbuda;-1.6% of GDP (2016 est.);-1.6
Argentina;-5.9% of GDP (2016 est.);-5.9
Armenia;-5.4% of GDP (2016 est.);-5.4
Aruba;-4% of GDP (2016 est.);-4
Australia;-2% of GDP (2016 est.);-2
Austria;-1.6% of GDP (2016 est.);-1.6
Azerbaijan;-0.4% of GDP (2016 est.);-0.4
Bahamas, The;-5.6% of GDP (2016 est.);-5.6
Bahrain;-13.6% of GDP (2016 est.);-13.6
Bangladesh;-4.9% of GDP (2016 est.);-4.9
Barbados;-6.2% of GDP (2016 est.);-6.2
Belarus;1.3% of GDP (2016 est.);1.3
Belgium;-2.6% of GDP (2016 est.);-2.6
Belize;-2.9% of GDP (2016 est.);-2.9
Benin;-6% of GDP (2016 est.);-6
Bermuda;-3.3% of GDP (2016 est.);-3.3
Bhutan;-3% of GDP (2016 est.);-3
Bolivia;-6.4% of GDP (2016 est.);-6.4
Bosnia and Herzegovina;-0.8% of GDP (2016 est.);-0.8
Botswana;-0.7% of GDP (2016 est.);-0.7
Brazil;-1% of GDP (2016 est.);-1
British Virgin Islands;-9.1% of GDP (2016 est.);-9.1
Brunei;-16.8% of GDP (2016 est.);-16.8
Bulgaria;2.5% of GDP (2016 est.);2.5
Burkina Faso;-3.2% of GDP (2016 est.);-3.2
Burma;-3.1% of GDP (2016 est.);-3.1
Burundi;-4.5% of GDP (2016 est.);-4.5
Cabo Verde;-2.4% of GDP (2016 est.);-2.4
Cambodia;-0.9% of GDP (2016 est.);-0.9
Cameroon;-6.6% of GDP (2016 est.);-6.6
Canada;-1.9% of GDP (2016 est.);-1.9
Cayman Islands;5.3% of GDP (2016 est.);5.3
Central African Republic;1.3% of GDP (2016 est.);1.3
Chad;-4.6% of GDP (2016 est.);-4.6
Chile;-2.7% of GDP (2016 est.);-2.7
China;-3.8% of GDP (2016 est.);-3.8
Colombia;-2.4% of GDP (2016 est.);-2.4
Comoros;-5.9% of GDP (2016 est.);-5.9
Congo, Democratic Republic of the;-0.2% of GDP (2016 est.);-0.2
Congo, Republic of the;-17.9% of GDP (2016 est.);-17.9
Cook Islands;3.7% of GDP (2010 est.);3.7
Costa Rica;-5.2% of GDP (2016 est.);-5.2
Cote d'Ivoire;-3.9% of GDP (2016 est.);-3.9
Croatia;-0.8% of GDP (2016 est.);-0.8
Cuba;-6.9% of GDP (2016 est.);-6.9
Curacao;-0.4% of GDP (2012 est.);-0.4
Cyprus;0.4% of GDP (2016 est.);0.4
Czechia;0.6% of GDP (2016 est.);0.6
Denmark;-0.6% of GDP (2016 est.);-0.6
Djibouti;-16% of GDP (2016 est.);-16
Dominica;0% of GDP (2016 est.);0
Dominican Republic;-2.8% of GDP (2016 est.);-2.8
Ecuador;-7.5% of GDP (2016 est.);-7.5
Egypt;-9.8% of GDP (2016 est.);-9.8
El Salvador;-2.8% of GDP (2016 est.);-2.8
Equatorial Guinea;-2.1% of GDP (2016 est.);-2.1
Eritrea;-11.4% of GDP (2016 est.);-11.4
Estonia;0.3% of GDP (2016 est.);0.3
Ethiopia;-3.3% of GDP (2016 est.);-3.3
European Union;-3% of GDP (2014);-3
Falkland Islands (Islas Malvinas);-5% of GDP (FY09/10);-5
Faroe Islands;-1.7% of GDP (2014 est.);-1.7
Fiji;-3.1% of GDP (2016 est.);-3.1
Finland;-1.9% of GDP (2016 est.);-1.9
France;-3.4% of GDP (2016 est.);-3.4
French Polynesia;1.2% of GDP (2012);1.2
Gabon;-6.6% of GDP (2016 est.);-6.6
Gambia, The;-19.5% of GDP (2016 est.);-19.5
Georgia;-3.9% of GDP (2016 est.);-3.9
Germany;0.8% of GDP (2016 est.);0.8
Ghana;-7.8% of GDP (2016 est.);-7.8
Gibraltar;1.1% of GDP (2008 est.);1.1
Greece;0.7% of GDP (2016 est.);0.7
Greenland;-13.5% of GDP (2015 est.);-13.5
Grenada;-0.8% of GDP (2016 est.);-0.8
Guam;-0.9% of GDP (2013 est.);-0.9
Guatemala;-1.1% of GDP (2016 est.);-1.1
Guernsey;1.2% of GDP (2005);1.2
Guinea-Bissau;-6.1% of GDP (2016 est.);-6.1
Guinea;-4% of GDP (2016 est.);-4
Guyana;-4.5% of GDP (2016 est.);-4.5
Haiti;-6.3% of GDP (2016 est.);-6.3
Holy See (Vatican City);NA%;NA
Honduras;-2.8% of GDP (2016 est.);-2.8
Hong Kong;2.6% of GDP (2016 est.);2.6
Hungary;"-1.8% of GDP
note: Hungary has been under the EU Excessive Deficit Procedure since it joined the EU in 2004; in March 2012 the EU elevated its Excessive Deficit Procedure against Hungary and proposed freezing 30% of the country's Cohesion Funds because 2011 deficit reductions were not achieved in a sustainable manner; in June 2012, the EU lifted the freeze, recognizing that steps had been taken to reduce the deficit; the Hungarian deficit increased above 3% both in 2013 and in 2014 due to sluggish growth and the government's fiscal tightening (2016 est.)";-1.8
Iceland;17.2% of GDP (2016 est.);17.2
India;-3.5% of GDP (2016 est.);-3.5
Indonesia;-2.5% of GDP (2016 est.);-2.5
Iran;-2.5% of GDP (2016 est.);-2.5
Iraq;-15.3% of GDP (2016 est.);-15.3
Ireland;-0.6% of GDP (2016 est.);-0.6
Isle of Man;0.3% of GDP (FY05/06 est.);0.3
Israel;-2.2% of GDP (2016 est.);-2.2
Italy;-2.4% of GDP (2016 est.);-2.4
Jamaica;0.5% of GDP (2016 est.);0.5
Japan;-4.6% of GDP (2016 est.);-4.6
Jersey;-0.5% of GDP (2005);-0.5
Jordan;-6.2% of GDP (2016 est.);-6.2
Kazakhstan;-0.3% of GDP (2016 est.);-0.3
Kenya;-7.1% of GDP (2016 est.);-7.1
Kiribati;10.8% of GDP (2013 est.);10.8
Korea, North;-0.4% of GDP (2007 est.);-0.4
Korea, South;1% of GDP (2016 est.);1
Kosovo;-3.2% of GDP (2014 est.);-3.2
Kuwait;-11% of GDP (2016 est.);-11
Kyrgyzstan;-4.6% of GDP (2016 est.);-4.6
Laos;-6.6% of GDP (2016 est.);-6.6
Latvia;0% of GDP (2016 est.);0
Lebanon;-9.5% of GDP (2016 est.);-9.5
Lesotho;-7.2% of GDP (2016 est.);-7.2
Liberia;-3.9% of GDP (2016 est.);-3.9
Libya;-52.2% of GDP (2016 est.);-52.2
Liechtenstein;1.6% of GDP (2012 est.);1.6
Lithuania;0.3% of GDP (2016 est.);0.3
Luxembourg;1.6% of GDP (2016 est.);1.6
Macau;6.1% of GDP (2016 est.);6.1
Macedonia;-2.6% of GDP (2016 est.);-2.6
Madagascar;-4.2% of GDP (2016 est.);-4.2
Malawi;-5.5% of GDP (2016 est.);-5.5
Malaysia;-3.1% of GDP (2016 est.);-3.1
Maldives;-6.5% of GDP (2016, est.);-6.5
Mali;-4% of GDP (2016 est.);-4
Malta;-0.6% of GDP (2016 est.);-0.6
Marshall Islands;1.5% of GDP (2013 est.);1.5
Mauritania;-1.5% of GDP (2016 est.);-1.5
Mauritius;-2.6% of GDP (2016 est.);-2.6
Mexico;-2.6% of GDP (2016 est.);-2.6
Micronesia, Federated States of;6.7% of GDP (FY12/13 est.);6.7
Moldova;-1.8% of GDP (2016 est.);-1.8
Monaco;-1% of GDP (2011 est.);-1
Mongolia;-15.2% of GDP (2016 est.);-15.2
Montenegro;-7.5% of GDP (2016 est.);-7.5
Morocco;-4.5% of GDP (2016 est.);-4.5
Mozambique;-9.2% of GDP (2016 est.);-9.2
Namibia;-6.5% of GDP (2016 est.);-6.5
Nepal;1.4% of GDP (FY2016 est.);1.4
Netherlands;0.4% of GDP (2016 est.);0.4
New Caledonia;0% of GDP (2015 est.);0
New Zealand;0.9% of GDP (2016 est.);0.9
Nicaragua;-1.6% of GDP (2016 est.);-1.6
Nigeria;-2.7% of GDP (2016 est.);-2.7
Niger;-6.6% of GDP (2016 est.);-6.6
Niue;-12.6% of GDP (FY04/05);-12.6
Northern Mariana Islands;-0.3% of GDP (2013 est.);-0.3
Norway;3% of GDP (2016 est.);3
Oman;-21.8% of GDP (2016 est.);-21.8
Pakistan;-4.5% of GDP (2016 est.);-4.5
Palau;8.8% of GDP (2016 est.);8.8
Panama;-1.9% of GDP (2016 est.);-1.9
Papua New Guinea;-4.9% of GDP (2016 est.);-4.9
Paraguay;-1.5% of GDP (2016 est.);-1.5
Peru;-2.6% of GDP (2016 est.);-2.6
Philippines;-2.4% of GDP (2016 est.);-2.4
Poland;-2.5% of GDP (2016 est.);-2.5
Portugal;-2% of GDP (2016 est.);-2
Puerto Rico;-0.6% of GDP (2016 est.);-0.6
Qatar;-8.3% of GDP (2016 est.);-8.3
Romania;-2.4% of GDP (2016 est.);-2.4
Russia;-3.4% of GDP (2016 est.);-3.4
Rwanda;-3.7% of GDP (2016 est.);-3.7
Saint Kitts and Nevis;4.1% of GDP (2016 est.);4.1
Saint Lucia;-2% of GDP (2016 est.);-2
Saint Pierre and Miquelon;4.6% of GDP (1996 est.);4.6
Saint Vincent and the Grenadines;0% of GDP (2016 est.);0
Samoa;-0.3% of GDP (2016 est.);-0.3
San Marino;-2.9% of GDP (2011 est.);-2.9
Sao Tome and Principe;-4.1% of GDP (2016 est.);-4.1
Saudi Arabia;-13% of GDP (2016 est.);-13
Senegal;-4.3% of GDP (2016 est.);-4.3
Serbia;-1.4% of GDP (2016 est.);-1.4
Seychelles;1.1% of GDP (2016 est.);1.1
Sierra Leone;-7.6% of GDP (2016 est.);-7.6
Singapore;-1.2% of GDP (2016 est.);-1.2
