Country;HEALTH EXPENDITURES(% OF GDP);
Afghanistan;8.2% of GDP (2014);8.2
Albania;5.9% of GDP (2014);5.9
Algeria;7.2% of GDP (2014);7.2
Andorra;8.1% of GDP (2014);8.1
Angola;3.3% of GDP (2014);3.3
Antigua and Barbuda;5.5% of GDP (2014);5.5
Argentina;4.8% of GDP (2014);4.8
Armenia;4.5% of GDP (2014);4.5
Australia;9.4% of GDP (2014);9.4
Austria;11.2% of GDP (2014);11.2
Azerbaijan;6% of GDP (2014);6
Bahamas, The;7.7% of GDP (2014);7.7
Bahrain;5% of GDP (2014);5
Bangladesh;2.8% of GDP (2014);2.8
Barbados;7.5% of GDP (2014);7.5
Belarus;5.7% of GDP (2014);5.7
Belgium;10.6% of GDP (2014);10.6
Belize;5.8% of GDP (2014);5.8
Benin;4.6% of GDP (2014);4.6
Bhutan;3.6% of GDP (2014);3.6
Bolivia;6.3% of GDP (2014);6.3
Bosnia and Herzegovina;9.6% of GDP (2014);9.6
Botswana;5.4% of GDP (2014);5.4
Brazil;8.3% of GDP (2014);8.3
Brunei;2.6% of GDP (2014);2.6
Bulgaria;8.4% of GDP (2014);8.4
Burkina Faso;5% of GDP (2014);5
Burma;2.3% of GDP (2014);2.3
Burundi;7.5% of GDP (2014);7.5
Cabo Verde;4.8% of GDP (2014);4.8
Cambodia;5.7% of GDP (2014);5.7
Cameroon;4.1% of GDP (2014);4.1
Canada;10.4% of GDP (2014);10.4
Central African Republic;4.2% of GDP (2014);4.2
Chad;3.6% of GDP (2014);3.6
Chile;7.8% of GDP (2014);7.8
China;5.5% of GDP (2014);5.5
Colombia;7.2% of GDP (2014);7.2
Comoros;6.7% of GDP (2014);6.7
Congo, Democratic Republic of the;4.3% of GDP (2014);4.3
Congo, Republic of the;5.2% of GDP (2014);5.2
Cook Islands;3.4% of GDP (2014);3.4
Costa Rica;9.3% of GDP (2014);9.3
Cote d'Ivoire;5.7% of GDP (2014);5.7
Croatia;7.8% of GDP (2014);7.8
Cuba;11.1% of GDP (2014);11.1
Cyprus;7.4% of GDP (2014);7.4
Czechia;7.4% of GDP (2014);7.4
Denmark;10.8% of GDP (2014);10.8
Djibouti;10.6% of GDP (2014);10.6
Dominica;5.5% of GDP (2014);5.5
Dominican Republic;4.4% of GDP (2014);4.4
Ecuador;9.2% of GDP (2014);9.2
Egypt;5.6% of GDP (2014);5.6
El Salvador;6.8% of GDP (2014);6.8
Equatorial Guinea;3.8% of GDP (2014);3.8
Eritrea;3.3% of GDP (2014);3.3
Estonia;6.4% of GDP (2014);6.4
Ethiopia;4.9% of GDP (2014);4.9
Fiji;4.5% of GDP (2014);4.5
Finland;9.7% of GDP (2014);9.7
France;11.5% of GDP (2014);11.5
Gabon;3.4% of GDP (2014);3.4
Gambia, The;7.3% of GDP (2014);7.3
Georgia;7.4% of GDP (2014);7.4
Germany;11.3% of GDP (2014);11.3
Ghana;3.6% of GDP (2014);3.6
Greece;8.1% of GDP (2014);8.1
