Country;(% of GDP) ;
Saudi Arabia ;8.78;8.78
Oman ;8.17;8.17
United Arab Emirates ;5.70;5.70
Algeria ;5.27;5.27
Israel ;5.10;5.10
Kuwait ;5.06;5.06
Lebanon ;4.99;4.99
Jordan ;4.68;4.68
Armenia ;4.25;4.25
Pakistan ;4.03;4.03
Uzbekistan ;4.00;4.00
Yemen ;3.98;3.98
Russia ;3.93;3.93
Ukraine ;3.78;3.78
Azerbaijan ;3.77;3.77
Bahrain ;3.60;3.60
Colombia ;3.50;3.50
United States ;3.42;3.42
Namibia ;3.35;3.35
Singapore ;3.30;3.30
Bulgaria ;3.25;3.25
Morocco ;3.10;3.10
Mauritania ;3.02;3.02
Gambia, The ;3.00;3.00
Burma ;2.93;2.93
Cuba ;2.87;2.87
Mali ;2.87;2.87
Botswana ;2.78;2.78
Iraq ;2.73;2.73
Iran ;2.67;2.67
Korea, South ;2.62;2.62
Congo, Republic of the ;2.55;2.55
Guinea ;2.47;2.47
Niger ;2.45;2.45
India ;2.42;2.42
Ecuador ;2.38;2.38
Brunei ;2.37;2.37
Georgia ;2.30;2.30
Vietnam ;2.30;2.30
Greece ;2.28;2.28
Sudan ;2.28;2.28
Cambodia ;2.21;2.21
Zimbabwe ;2.17;2.17
Estonia ;2.14;2.14
United Kingdom ;2.14;2.14
Chad ;2.13;2.13
Tunisia ;2.09;2.09
Burkina Faso ;2.06;2.06
Romania ;2.04;2.04
Lithuania ;2.03;2.03
Latvia ;2.01;2.01
Poland ;2.00;2.00
Togo ;1.97;1.97
Uruguay ;1.95;1.95
Australia ;1.89;1.89
Chile ;1.89;1.89
Sri Lanka ;1.89;1.89
Turkey ;1.89;1.89
Burundi ;1.88;1.88
China ;1.87;1.87
France ;1.84;1.84
Lesotho ;1.81;1.81
Norway ;1.80;1.80
Angola ;1.78;1.78
Taiwan ;1.78;1.78
Slovakia ;1.74;1.74
Honduras ;1.71;1.71
Guyana ;1.69;1.69
Croatia ;1.68;1.68
Montenegro ;1.66;1.66
Guinea-Bissau ;1.64;1.64
Cyprus ;1.57;1.57
Kyrgyzstan ;1.57;1.57
Gabon ;1.53;1.53
Portugal ;1.52;1.52
Bolivia ;1.50;1.50
Eswatini ;1.50;1.50
Brazil ;1.48;1.48
Nepal ;1.44;1.44
Seychelles ;1.44;1.44
Uganda ;1.43;1.43
Central African Republic ;1.41;1.41
Serbia ;1.39;1.39
Germany ;1.38;1.38
Senegal ;1.38;1.38
Bangladesh ;1.37;1.37
Cote d'Ivoire ;1.36;1.36
Netherlands ;1.36;1.36
Jamaica ;1.35;1.35
South Sudan ;1.33;1.33
Thailand ;1.33;1.33
Denmark ;1.32;1.32
Canada ;1.31;1.31
Kenya ;1.30;1.30
Finland ;1.29;1.29
Belarus ;1.27;1.27
Albania ;1.26;1.26
Belize ;1.26;1.26
Cameroon ;1.25;1.25
Egypt ;1.25;1.25
Zambia ;1.25;1.25
Rwanda ;1.23;1.23
Italy ;1.22;1.22
Tajikistan ;1.22;1.22
Hungary ;1.21;1.21
Tanzania ;1.21;1.21
Czechia ;1.19;1.19
North Macedonia ;1.19;1.19
Peru ;1.19;1.19
New Zealand ;1.16;1.16
Philippines ;1.13;1.13
Bosnia and Herzegovina ;1.11;1.11
Slovenia ;1.04;1.04
Sweden ;1.04;1.04
El Salvador ;1.03;1.03
Afghanistan ;0.99;0.99
Mozambique ;0.99;0.99
Malaysia ;0.98;0.98
South Africa ;0.98;0.98
Kazakhstan ;0.95;0.95
Belgium ;0.93;0.93
Japan ;0.93;0.93
Paraguay ;0.93;0.93
Fiji ;0.92;0.92
Spain ;0.92;0.92
Argentina ;0.86;0.86
Benin ;0.86;0.86
Malawi ;0.85;0.85
Kosovo ;0.80;0.80
Sierra Leone ;0.80;0.80
Trinidad and Tobago ;0.78;0.78
Liberia ;0.77;0.77
Dominican Republic ;0.74;0.74
Indonesia ;0.72;0.72
Mongolia ;0.68;0.68
Switzerland ;0.68;0.68
Congo, Democratic Republic of the ;0.67;0.67
Ethiopia ;0.64;0.64
Nicaragua ;0.61;0.61
Timor-Leste ;0.61;0.61
Madagascar ;0.60;0.60
Austria ;0.58;0.58
Luxembourg ;0.56;0.56
Cabo Verde ;0.55;0.55
Mexico ;0.54;0.54
Nigeria ;0.51;0.51
Malta ;0.49;0.49
Venezuela ;0.49;0.49
Ghana ;0.41;0.41
Guatemala ;0.35;0.35
Moldova ;0.35;0.35
Ireland ;0.33;0.33
Iceland ;0.30;0.30
Papua New Guinea ;0.27;0.27
Laos ;0.19;0.19
Equatorial Guinea ;0.18;0.18
Mauritius ;0.16;0.16
